Country,Count
United States,437
United Kingdom,328
Germany,72
Sweden,59
Canada,48
Russia,48
Norway,37
France,28
Australia,24
Finland,21
Denmark,13
Unknown,13
Switzerland,12
Belgium,11
Ireland,11
Italy,11
Poland,10
Greece,7
Netherlands,7
Iceland,5
Austria,4
Spain,4
International,3
Israel,3
Japan,3
New Zealand,3
Brazil,2
Hungary,2
Mexico,2
Portugal,2
Tunisia,2
 Adrian Younge & Ali Shaheed Muhammad""",Unknown,1
 Indiana""",Unknown,1
 New Road""",Unknown,1
 Pharoah Sanders, London Symphony Orchestra & Sam Shepherd""",Unknown,1
 Pusha T & Malice""",Unknown,1
 Scott Kelly & Wino""",Unknown,1
 Slug & Ant""",Unknown,1
Andorra,1
Argentina,1
Belarus,1
Georgia,1
Germany and Japan,1
Luxembourg,1
Malaysia,1
Slovenia,1
South Africa,1
Turkey,1
Ukraine,1
Venezuela,1
nowhere.""",Unknown,1